"Index","Metabolite","R2","RMSE","TrainingTime"
1,"m/z_119.0858658_RT_845.0360081",0.0724332765569286,1.30944421062957,7.55381437540054
2,"m/z_181.1222311_RT_854.3462146",0.0334714797792821,1.37961900211725,8.26558541456858
3,"m/z_188.0706505_RT_145.5962756",0.163617884068711,1.11636338312353,6.27648501793543
4,"m/z_205.0793257_RT_351.1913522",0.0535011828957248,1.28818334850447,11.172085805734
5,"m/z_205.0970447_RT_145.2870487",0.291441121537906,1.10297413826646,7.20267374515533
6,"m/z_207.1377636_RT_256.1395654",0.454195726529666,1.48908854156981,11.1133785843849
7,"m/z_225.1484785_RT_256.0653238",0.449017849392641,1.46580728593649,8.07369763056437
8,"m/z_226.1801381_RT_736.4438485",0.000862212975447637,1.40911167556615,6.70778652826945
9,"m/z_230.0844822_RT_151.2073776",0.0058273839805277,1.34818367901968,11.4554312507312
10,"m/z_235.1306531_RT_854.2914655",0.0243983395051954,1.38633272792362,8.43150905768077
11,"m/z_244.1001478_RT_267.2318852",0.383933827311965,1.44124068754923,10.5294635375341
12,"m/z_245.0783504_RT_794.7021801",0.147991251930836,1.1345224663047,7.69233102798462
13,"m/z_245.1032212_RT_267.2631751",0.428438331527661,1.45493988638754,9.07000312805176
14,"m/z_252.0664634_RT_151.9797934",0.0388099916361756,1.50376951873298,8.06083635489146
15,"m/z_258.1157937_RT_428.075508",0.105249616923487,1.28137297112553,11.1408063014348
16,"m/z_259.1187397_RT_428.093823",0.100358572679948,1.26145411890413,8.95730839172999
17,"m/z_272.1314185_RT_620.4182686",0.00807626455223707,1.31604737684674,8.69891203244527
18,"m/z_281.1382056_RT_844.9820992",0.079022018420319,1.30815143142683,6.57774407068888
19,"m/z_286.1472109_RT_725.9974243",0.134310858506749,1.26413298495162,8.7414669752121
20,"m/z_287.150197_RT_725.9980387",0.148278986002072,1.26089196200837,8.60858159859975
21,"m/z_288.1456967_RT_725.9999684",0.123448265419474,1.2662151957488,8.66006848017375
22,"m/z_294.1130797_RT_620.5929872",0.00932944018058603,1.29572554016209,10.7433085680008
23,"m/z_300.1627338_RT_768.3811832",0.00155497568944138,1.3706479526574,8.52857713301976
24,"m/z_301.1657795_RT_768.3918139",0.000929388191785329,1.3168673244166,7.22905995845795
25,"m/z_302.1616635_RT_768.3966959",4.19628184576778e-05,1.3864505337263,7.46323649088542
26,"m/z_314.1782856_RT_801.8806339",0.0107097192734866,1.29134636812466,8.77982382774353
27,"m/z_315.1812887_RT_801.8902808",0.00481302206076818,1.31600153180639,9.02738717794418
28,"m/z_316.177216_RT_801.906744",4.62122232719754e-05,1.2946169853311,6.95192688306173
30,"m/z_316.2113448_RT_188.3884268",0.0861189926578887,1.3011693156308,8.65440656344096
29,"m/z_316.2114154_RT_223.6349828",0.116603633469104,1.23187512555255,8.59084988435109
31,"m/z_322.1442891_RT_768.4116026",0.0424624335791033,1.39071334756302,8.20835605859756
32,"m/z_328.1940412_RT_831.7311156",0.00123198708803333,1.3482608394247,6.54858064651489
33,"m/z_329.196861_RT_831.7500172",5.4147393779305e-06,1.3679186516197,6.89082052310308
34,"m/z_330.1930396_RT_831.7456402",0.00215914326768325,1.33955167590024,6.92261724074682
35,"m/z_336.1598601_RT_801.9152692",0.0133178583136341,1.3515331626231,8.50077340602875
36,"m/z_342.209293_RT_860.4756753",0.00263682982321176,1.300318451513,6.28719296455383
37,"m/z_343.2125532_RT_860.4849756",0.00948191150936524,1.24977428347631,6.54487026532491
38,"m/z_344.2093006_RT_860.4910146",0.00701900747735735,1.24875060810299,6.81886330445607
39,"m/z_350.175476_RT_831.7820976",0.0100445855253752,1.39433102378346,10.460119398435
40,"m/z_353.2678985_RT_843.7276219",0.0443111987305133,1.30121557872745,9.90701107978821
41,"m/z_364.1908661_RT_860.5274255",0.0684925893819447,1.30367881670551,7.76298334995906
42,"m/z_415.2104746_RT_844.8939977",0.0822594492296346,1.2793408392568,6.52887321710587
43,"m/z_416.2141684_RT_844.9225976",0.0435773731960878,1.30369144864826,6.74049179156621
44,"m/z_430.2424608_RT_410.7017851",0.152612254085561,1.15922877258069,9.87955608765284
45,"m/z_432.2367427_RT_844.8221772",0.00422413041181634,1.29160649508657,11.8949479858081
46,"m/z_437.1924628_RT_845.0838961",0.0920849279163641,1.34872333556265,7.40231443246206
47,"m/z_438.1958051_RT_845.1045835",0.0610693136568847,1.33951577079474,7.65665244261424
48,"m/z_518.3231057_RT_858.6255012",0.0821306819862607,1.17192092904874,6.20888747771581
49,"m/z_571.286087_RT_725.9833916",0.226929886047517,1.21441343350688,8.23234770298004
50,"m/z_599.31717_RT_768.3162403",0.00548338577161867,1.32981694933393,8.12148565451304
51,"m/z_600.3201164_RT_768.3111418",0.000409856111235205,1.29301635341681,8.36437408129374
52,"m/z_655.3797992_RT_831.6553299",0.00154164693962671,1.25093250446036,6.22187978426615
53,"m/z_656.3827902_RT_831.6573222",0.00156810869928255,1.26400464971962,6.41849228541056
