Metabolite,R2,RMSE,TrainingTime
"m/z_235.1306531_RT_854.2914655",0.131695592190343,0.969676580617795,1730.84193897247
"m/z_244.1001478_RT_267.2318852",0.467804570676248,0.715272553533983,2023.8078622818
"m/z_245.0783504_RT_794.7021801",0.204075169415756,0.648143483200321,2048.33697605133
"m/z_245.1032212_RT_267.2631751",0.510110363074979,0.711988082713332,1872.92856287956
"m/z_252.0664634_RT_151.9797934",0.221420882058052,0.895826613743536,1618.55626988411
"m/z_258.1157937_RT_428.075508",0.215157022274492,0.824162660151715,2044.96081089973
"m/z_259.1187397_RT_428.093823",0.196637676180717,0.808872282333786,1971.25341129303
"m/z_272.1314185_RT_620.4182686",0.000551928934367535,1.0004062550348,1738.98934555054
"m/z_281.1382056_RT_844.9820992",0.0743334908195444,0.983643760202678,1559.32092881203
"m/z_286.1472109_RT_725.9974243",0.106867701970592,0.859976108415628,1887.41372156143
"m/z_119.0858658_RT_845.0360081",0.0443127683979064,0.999690749424102,1776.04519343376
"m/z_287.150197_RT_725.9980387",0.110611117146372,0.861230390310482,1590.47388386726
"m/z_288.1456967_RT_725.9999684",0.104438486511109,0.870687849682273,1567.60372757912
"m/z_294.1130797_RT_620.5929872",0.0201124780556256,0.974322705708084,1806.76319622993
"m/z_300.1627338_RT_768.3811832",0.0272410256333656,0.951711309837154,1688.61331677437
"m/z_301.1657795_RT_768.3918139",0.0071817095722373,0.94684002161645,1618.48138904572
"m/z_302.1616635_RT_768.3966959",0.0250540905502102,0.978050820439434,1607.53383207321
"m/z_314.1782856_RT_801.8806339",0.00586145766662837,0.956755887470345,1801.18092989922
"m/z_315.1812887_RT_801.8902808",0.00536514745910002,0.976798677431344,1717.96312427521
"m/z_316.177216_RT_801.906744",0.000378891491066719,0.985726552966998,1706.76698279381
"m/z_316.2114154_RT_223.6349828",0.0669468325814543,0.857139827553592,1747.14135289192
"m/z_181.1222311_RT_854.3462146",0.155480800413788,0.946165118740161,2094.55405640602
"m/z_316.2113448_RT_188.3884268",0.0631986170967761,0.933550905338704,1625.88974571228
"m/z_322.1442891_RT_768.4116026",0.0601091660047291,0.934960687685126,1575.85916852951
"m/z_328.1940412_RT_831.7311156",0.0093539261160843,0.97493595074626,2166.960460186
"m/z_329.196861_RT_831.7500172",0.00770683728602413,1.0105534452006,1903.03423023224
"m/z_330.1930396_RT_831.7456402",0.00470363279778726,0.958884302959988,2083.69753193855
"m/z_336.1598601_RT_801.9152692",0.0312454089872883,0.931163108960857,1928.64418745041
"m/z_342.209293_RT_860.4756753",0.00436457750854069,1.04512731466467,2119.80957746506
"m/z_343.2125532_RT_860.4849756",0.000825535993870718,0.965682992597347,2070.97112727165
"m/z_344.2093006_RT_860.4910146",0.00183489139961585,0.977971027004627,2202.58128976822
"m/z_350.175476_RT_831.7820976",0.0654085493741377,0.928735359629047,1722.34227275848
"m/z_188.0706505_RT_145.5962756",0.330273389937306,0.836306172182298,2234.96654105186
"m/z_353.2678985_RT_843.7276219",0.0362091027073963,0.904081357505487,1801.08174347878
"m/z_364.1908661_RT_860.5274255",0.0753766412092023,0.841364424352395,1664.61774206161
"m/z_415.2104746_RT_844.8939977",0.0903953770698035,0.954257223238053,1589.934227705
"m/z_416.2141684_RT_844.9225976",0.105964582072056,0.963251392922576,1790.66323161125
"m/z_430.2424608_RT_410.7017851",0.0434070154771771,0.855273957265784,1762.86872386932
"m/z_432.2367427_RT_844.8221772",0.0641862101600036,0.936466735071993,1888.94906306267
"m/z_437.1924628_RT_845.0838961",0.0525453825000333,0.929770730244223,1643.26996684074
"m/z_438.1958051_RT_845.1045835",0.0525302571969284,0.922615629899266,1655.97645711899
"m/z_518.3231057_RT_858.6255012",0.138269975147345,0.957910761810432,1769.9868824482
"m/z_571.286087_RT_725.9833916",0.199646672779594,0.813313536335931,1674.57215213776
"m/z_205.0793257_RT_351.1913522",0.0238412812987567,0.931219873909198,1741.42978930473
"m/z_599.31717_RT_768.3162403",0.0327901967295157,0.899617108837785,1703.13832807541
"m/z_600.3201164_RT_768.3111418",0.0308741121216584,0.890839072418433,1935.27512431145
"m/z_655.3797992_RT_831.6553299",0.00418160977461761,0.94952291752617,2036.14681839943
"m/z_656.3827902_RT_831.6573222",3.26620695842634e-05,0.969800674879696,1959.32918739319
"m/z_205.0970447_RT_145.2870487",0.350851255615425,0.807470527147823,2272.36882519722
"m/z_207.1377636_RT_256.1395654",0.397176180331503,0.82126980287209,1835.28758025169
"m/z_225.1484785_RT_256.0653238",0.40898816509877,0.803657028074642,1892.95378375053
"m/z_226.1801381_RT_736.4438485",0.0010698719290669,1.19191839693712,2138.88077425957
"m/z_230.0844822_RT_151.2073776",0.018251186288805,0.979585653162117,1893.77710032463
